1	((5,73),     ,     ,     )	I
2	((5,74),     ,     ,     )	J
3	((5,75),     ,     ,     )	K
4	((5,65),     ,     ,     )	A
5	((5,66),     ,     ,     )	B
6	((5,88),     ,     ,     )	X
7	((5,89),     ,     ,     )	Y
8	((5,90),     ,     ,     )	Z
9	((2,21),     ,     ,(5,15))	PROGRAM A2
10	((1,4),(3,50),     ,(5,73))	I=2
11	((1,4),(3,51),     ,(5,74))	J=3
12	((5,18),     ,     ,(5,73))	ARG I
13	((5,18),     ,     ,(5,74))	ARG J
14	((5,18),     ,     ,(5,75))	ARG K
15	((2,3),(3,51),     ,(5,16))	CALL A3
16	((5,84),(5,66),(5,73),(0,1))	T1=B(I)
17	((5,84),(0,1),(5,74),(0,2))	T2=T1(J)
18	((1,5),(0,2),(4,51),(0,3))	T3=T2+2.7
19	((5,35),(0,3),     ,(0,4))	T4=INT(T3)
20	((1,4),(0,4),(5,75),(5,65))	A(K)=T4
21	((2,6),     ,     ,     )	ENP
22	((2,23),     ,     ,(5,16))	SUBROUTINE A3
23	((5,69),     ,     ,(5,88))	PARAM X
24	((5,69),     ,     ,(5,89))	PARAM Y
25	((5,69),     ,     ,(5,75))	PARAM K
26	((1,4),(3,54),     ,(5,90))	Z=6
27	((1,6),(5,88),(5,90),(0,5))	T5=X-Z
28	((1,9),(0,5),(3,50),(0,6))	T6=T5^2
29	((1,5),(0,6),(5,89),(0,7))	T7=T6+Y
30	((1,4),(0,7),     ,(5,75))	K=T7
31	((2,7),     ,     ,     )	ENS
